SAP è.;Název;Ulice;Mìsto;PSÈ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412002;Montela, s.r.o.;Knezskodvorska 535/25;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412048;Brazina Milan;Dolni 154;Stare Hodejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411798;NATIS s.r.o.;Seifertova 4313/10;Kromeriz;767 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411799;BA-KA STAHL GMBH;Überseering 25;Hamburg;22297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411645;OPTIA, a.s.;Slovanska 275/16;Sumperk;787 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411651;Carrier Transicold Ceska;Nemanicka 7;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411652;STEJKR, spol, s. r.o.;Male namesti 1980/16;Svitavy 2;568 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;Beuth Verlag GmbH;Burggrafenstraße 6;Berlin;10787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411872;EUROLAMP s.r.o.;Lazaretni 7;Brno - Zidenice;615 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411873;Penzion Centrum;Na Mlynske stoce 6;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411874;INTERFLON Czech, s.r.o.;Jinonicka 329;Praha 5 - Jinonice;150 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4331;top grind gmbH;Rischenweg 5a;Rosdorf/Göttingen;37124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1672;Thomas Hummel;Johannesstrasse 15;Kirchentellinsfurt;72138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411661;Ceva Logistics GmbH;Niendorfer Straße 172;Norderstedt;22848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411822;JAPOS s.r.o.;Nova 5;Troubsko;664 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411672;SUNEX - Ing. Zdenek Kupka;Pod Vsemi svatymi 3;Plzen  1;301 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411930;Ludek Safarik;Stredova 1760/3;Teplice;415 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411683;HAKO CB s.r.o.;Vondrov 762;Hluboka nad Vltavou;373 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1223;RAZIOL Zibulla & Sohn GmbH;Hagener Straße 144-152;Iserlohn;58642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414765;MYRON s.r.o.;Trebin 17;Dubne;373 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;HITEC - Messtechnik GmbH;Salzstrasse 25;Niedernhall;74676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415141;CSS spedition s.r.o.;Nadrazni 448;Pisek;397 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;REIFF Technische Produkte GmbH;Tübinger Straße 2-6;Reutlingen;72762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415389;Verkon s.r.o.;Kurta Konrada 18;Praha 9;190 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4115;Hans & Willi Eischeid GmbH  CO KG;Selbecker Straße 17;Heiligenhaus;42579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415474;Lagermax spedice a logistika s.r.o.;U Prioru 171059;Praha 6;161 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414828;INTERPAP Office, s.r.o.;Na Hrazi 124;Decin VIII;405 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414848;DSV Road a.s.;K Vypichu 1149;Rudna;252 19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;Lehmann Präzision GmbH;Weilerstraße 27;Hardt;78739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415148;Schieffer Industries Romania S. R.;Str. Tapiei 57;Lugoj;305500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415191;Elektronicke Soucastky;J. Carka 1863/VII;Ceske Budejovice 6;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415248;Sberne suroviny a.s.;Prazska 493;Ceske Budejovice;370 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415201;CS Expres a.s.;U Cukrovru 187;Slatinany;538 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414673;GESPERRT - GALVA - Vaclav Chmela;Sedlackova 6;Pisek;397 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419888;HrubyMOVING s.r.o.;Northpoint, hala DC05, Ke Zdibs 620;Klecany;250 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416822;J.A. CLEAN s.r.o.;Kondrac 41;Vlasim;258 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420044;REKLA s.r.o.;Havlickova 370;Hermanuv Mestec;538 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3598;redi-Group GmbH;Elisabeth-Selbert-Str. 15;Langenfeld;40764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418276;SFS intec GmbH;Wiener Strasse 29;Korneuburg;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420429;Adecco s.r.o.;Na Sadech 2017/13;Ceske Budejovice;378 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419661;ALERION s.r.o.;Chaloupkova 1;Brno-Kralovo Pole;612 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420323;Elektra PV s.r.o.;Nemanicka 5;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421409;KANAL-Serv, s.r.o.;B. Nemcove 12/2;Ceske Budejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1950;TRW Automotive GmbH;Industriestrasse 20;Alfdorf;73553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960;ELB-SCHLIFF;Bollenwaldstraße 116;Aschaffenburg;63743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1716;DANLY Deutschland GmbH;Daimlerstraße 29;Dauchingen;78083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;Dürr Ecoclean GmbH;Mühlenstraße 12;Filderstadt;70794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1197;Burghardt + Schmidt GmbH;Raiffeisenstrasse 24;Remchingen-Wilferdingen;75196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414694;MODECO s.r.o.;Rokycanova 43;Brno;615 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403009;Diamant-Gesellschaft Tesch GmbH;Carl-Goerdeler-Straße 14;Ludwigsburg;71636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414685;INOX spol. s r. o.;Svatoslavova 8;Praha 4 - Nusle;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415030;Blatenske strojirny Blatna s.r.o.;Ve skali 623;Blatna;388 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415104;REKON BOHEMIA spol. s.r.o.;Pod Lesem 163;Borek;373 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415003;Nieuwkoop BV;Aalsmeerderweg;Aalsmeer;1432 CM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415048;Belusky Miroslav;Na Sadech 141;Rozmital na Sumave;382 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416290;HYDAC spol. s r.o.;Kanadska 794;Plana nad Luznici;391 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2107;Voith Turbo H+L Hydraulic GmbH & Co;Schuckertstraße 15;Rutesheim;71277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2131;Rheinwerkzeug GmbH & Co. KG;Rheinallee 98;Mainz;55120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1536;bes Funkenerosion GmbH;Hafnerweg 3;Fluorn-Winzeln;78737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1544;Robert Zapp Werkstofftechnik GmbH;Zapp-Platz 1;Ratingen;40880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;TECNO.team GmbH;Ludwig-Erhard-Strasse 1;Wertheim;97877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;Schnarrenberger Gleitschleiftechnik;Robert-Bosch-Straße 31;Vöhringen;89269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1283;Fischer Precise Deutschland GmbH;Gaußstraße 2;Leinfelden-Echterdingen;70771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1567;MyTeam Messetechnik GmbH;Zehntwiesenstr. 5;Ettlingen;76275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1049;Wagner Magnete GmbH & Co KG;Obere Strasse 15;Heimertingen;87751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1295;Ingenieurbuero Zimmermann;Spitalstr. 27;Schweinfurt;97421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1061;ZECHA GmbH;Benzstraße 2;Königsbach-Stein;75203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1089;Autoliv B.V. & Co. KG;Otto-Hahn-Strasse 4;Elmshorn;25337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1396;GC-heat Gebhard & Castiglia;Industriestraße 34;Waldbröl;51545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1676;Bertschinger GmbH & Co. KG;Riedwasen 2;Aldingen;78550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400179;GWS Produktion Handel;Linzer Bundesstr. 5;Salzburg;5020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400705;Schniewindt  GmbH & Co. KG;Schoetaler Weg 46;Neuenrade;58809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400660;Edwin Deutgen;Kumpenkampsheide 1;Hermannsburg;29320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400800;LTH Castings d.o.o.;Vincarje 2;Skofja Loka;4220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400294;Holzschuh GmbH + Co. KG Knittlingen;Im Köbler 2;Knittlingen;75438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400466;KERN-LIEBERS POLSZ GESPERRT;ul. Partyzantow 4;Myszkow;42300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400506;MOTOR JIKOV Tlakova slevarna a. s.;Knezskodvorska 2277/26;Ceske Budejovice 4;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400100;Jegan S.A.L.;Pol. Ind. ITZIAR, Parcela F6;ITZIAR -DEBA Guipuzcoa;20829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400132;ESI Prüftechnik GmbH;Neuffenstr. 80;Wendlingen;73240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421741;EagleBurgmann Czech s.r.o.;Na Drahach 1364;Praha 5 - Zbraslav;156 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420596;Qualtum Entrepreneurial Group S.A.D;Calle Leibnitz No. 14  Piso 10;Mexico D.F.;11590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406234;WMA SCHMIDT + BITTNER GMBH;Baumwaide 23;Ilsfeld-Auenstein;74360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421064;LUSA CB s.r.o.;K Hajovne 771, Srubec;Ceske Bubejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421215;FEVOS s.r.o.;Rokytnice 201;Slavicin;763 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3438;H. J. Schryver & Co.;Sachsenstrasse 5-7;Hamberg;20097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421809;Renishaw PLC;GL12 8JR New Mills;Gloucestershire;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421898;WinWork s.r.o.;Kralova 279/9;Brno;616 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420781;Expeditors Internationa CR s.r.o.;Aviaticka 12;Praha 6;168 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420569;Ziehl-Abegg s.r.o.;Skrobarenska 484/8;Brno;617 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409680;MISUMI Europa GmbH;Katharina-Paulus-Straße 6;Schwalbach;65824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420405;AGRICO s.r.o.;Rybarska 671;Trebon;379 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3339;Leibold & Amann GmbH u. Co. KG;Talstraße 19;Wellendingen-Wilflingen;78669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420870;SKIF CZ spol. s r.o.;Hutska 229;Kladno;272 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419337;Toledo Integrated Systems;6834 Spring Valley;Holland;43528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419383;Czechoplast, s.r.o.;Na Laurove 2519/3;Praha 5 - Smichov;105 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419377;SINBRANT s.r.o.;Ceska 175;Ceska u Brna;664 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420035;bo tree zahradni atelier s.r.o.;Plana 24;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420036;Pension u Dolezalu;Buzkova 44;Brno-Zidenice;615 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419971;Maurice Ward and Co., s.r.o.;Knezeves 185;Stredokluky;252 68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
509;Reisebüro Bühler GmbH;Hauptstraße 21;Schramberg;78713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419983;PricewaterhouseCoopers Audit s.r.o.;Hvezdova 1734/2c;Praha 4;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417861;SECO/WARWICK Service GmbH;An der Molkerei 15;Bedburg-Hau/Hasselt;47551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407329;V-S KOM, s.r.o.;Prumyslova 5;Praha 10;108 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407343;SAIC (Europa) GmbH;Ballindamm 6;Hamburg;20095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407719;Jiri Volejnik Technicke normy;Karla Steinera;Plzen 18;318 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407720;Pramark, s.r.o.;Krizova 1018/6;Praha 5;150 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407721;TART, s.r.o.;Vinohradska 91;Brno - Cernovice;618 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407722;HASCO Czech Republic s.r.o.;nam. M.J. Husa 20;Zdiby;250 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407367;Zeman Michal;Karla Uhlire 2190/10;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407368;Pruzina Ludek - KOVOS PM;1. maje 44;Zastavka;664 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407369;VAKUUM BOHEMIA s.r.o.;Lidicka Kolonie 47;Jihlava 1;586 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407370;REKO s.r.o.;Husova 249;Joromer;551 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407376;Cesko-nemecka obchodni;Vaclavske nam. 40;Praha 1;110 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407386;Asiana, spol. s.r.o.;Terronska 68;Praha 6;160 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407397;FINN-LEY VAKUUM, s.r.o.;Simackova 2;Brno;628 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407421;Roman Lavicka (L.A.V.-UNI);J. S. Baara 41;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407422;Frantisek Toman;Kostelni 74;Zamberk;564 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407423;ICP spol. s.r.o.;F.X.Prochazky 32;Brandys nad Labem;250 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407424;Ing. Milos Kalina;Vcelna 368;Borsov nad Vltavou;373 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407460;H I T  HOFMAN, s.r.o.;Prazska 333;Psary;252 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407471;ESI-D, s.r.o.;Budejovicka 5;Praha 4;140 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407472;SALIX INTERNTIONAL a.s.;Tecovice 392;Zlin;763 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407074;PLYNOINSTALACE spol. s.r.o.;Stara cesta 10;Dobra Voda u. C. Budejovic;373 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407075;JCC Strojni dilny s.r.o.;Homole 198;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407076;ALFUN a.s.;Zahradni 1610/40;Bruntal;792 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407077;SCHUNK Intec s.r.o.;Drazni 7b;Brno - Slatina;627 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407078;FOERSTER TECOM, s.r.o.;U Tvrze 13/30;Praha 10;108 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407079;P.A.V. LOGISTIC s.r.o.;Cejl 35;Brno;602 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407080;CB SRVIS CENTRUM s.r.o.;Strelnice Borek;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407081;Rhein-Nadel Automation GmbH;Reichsweg 19/42;Aachen;52068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407090;FUCHS OIL CORPORATION, spol. s.r.o.;Otice 40;Stranicice;251 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407097;Bodycote Heat s.r.o.;Krizova 1018;Praha 5;150 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407506;PROGRAM CENTRUM s.r.o;Havlickovo nabrezi 38;Ostrava 1;701 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407507;KOVOSVIT MAS, a.s.;nam. Tomase Bati 419;Sezimovo Usti;391 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407508;Moss Ceska republika s.r.o.;Dornych 54/47;Brno;617 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407102;TYROLLER HYDRAULIK GMBH;Muehlweg 33;Waidhofen;86579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407111;CSAD JIHOTRANS a.s.;Pekarenska ul 255/77;Ceske Budejovice;370 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405299;TOMODO spol. s.r.o.;Zizkova 12;Ceske Budejovice;371 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405300;VEEL s.r.o.;Latran 140;Velesin;382 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405301;BELIS, s.r.o.;Rudolfovska 111;Ceske Budejovice 1;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405302;C.S. CARGO a.s.;Hradecka 1116;Jicin;506 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405303;KAVA sdruzeni;Karel Vaclavik;Loucovice 296;382 76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405304;Antonin Peterka - ZRUSENO;Zdar nad Orlici 173;Zdar nad Orlici;517 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405305;TURCK s.r.o.;Hradecka 1151;Hradec Kralove 3;500 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405331;CENTES, spol. s.r.o.;Rosickeho 30;Ceske Budejovice;370 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404320;HMS - hygienicke systemy, spol. s.r;U Prioru 1;Praha 6;161 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
